rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
512,128,16,12,16000000,0.38862196730982,5.579016958806659,15697841
16,256,256,12,16000000,1.18712143958516,14.446565003454296,15697841
16,64,256,12,16000000,1.18712143958516,14.408325647235504,15697841
32,64,256,12,16000000,0.8513061304020999,10.58617907940211,15697841
16,256,256,10,16000000,1.1846335955087,13.86814680898602,15697841
16,256,256,9,16000000,1.1929399165774799,13.692269853666108,15697841
16,256,256,11,16000000,1.1850744630801997,14.145725521159317,15697841
16,64,256,11,16000000,1.1850744630801997,14.107601233903722,15697841
128,256,256,9,16000000,0.40797561790298,5.237534446385606,16250862
512,16,256,10,16000000,0.3780792242094,5.197031523270085,16250862
128,256,256,8,16000000,0.39918130592858,5.04862248167314,16250862
256,256,256,9,16000000,0.38026278956793996,5.023038771558571,16250862
128,256,256,10,16000000,0.40411906187966,5.329701891694828,16250862
256,256,256,10,16000000,0.3809428064092,5.158502867496983,16250862
128,256,256,11,16000000,0.40233856199018,5.44140858023462,16250862
256,256,256,8,16000000,0.37965020953497997,4.902396852925186,16250862
128,256,256,12,16000000,0.40369377283846,5.587919912688607,16250862
128,16,256,12,16000000,0.40371290493535994,5.566790626413002,16250862
512,64,256,11,16000000,0.39242389606343997,5.4890463766220945,16831859
512,128,256,11,16000000,0.39242389606343997,5.494614507949059,16831859
512,256,16,12,16000000,0.38862196730982,5.5895610689291715,16831859
512,256,256,11,16000000,0.39242389606343997,5.505208722214304,16831859
512,256,64,12,16000000,0.38904801913250003,5.600160110501704,16831859
512,256,128,12,16000000,0.39000230470170005,5.6167923812567775,16831859
512,256,256,12,16000000,0.39000230470170005,5.630830016487006,16831859
16,256,4,4,16000000,1.22560193163228,12.692665451244583,16831859
512,128,256,12,16000000,0.39000230470170005,5.62025950906798,16831859
32,256,4,4,16000000,0.9082562096395399,9.535321892498422,16831859
256,64,128,12,16000000,0.38881977828695996,5.483778402449061,17390566
512,64,128,12,16000000,0.39000230470170005,5.600695944534969,17390566
512,64,256,12,16000000,0.39000230470170005,5.61473374225789,17390566
128,64,256,12,16000000,0.40369377283846,5.571425985284568,17390566
128,64,128,12,16000000,0.40369377283846,5.557161829090805,17390566
128,256,16,12,16000000,0.40400328978208,5.563064734727511,17390566
128,256,64,12,16000000,0.40369427994055995,5.566140647194322,17390566
32,256,16,4,16000000,0.8942403868057999,9.396279645324778,17390566
128,256,128,12,16000000,0.40369377283846,5.573635255564955,17390566
32,256,64,4,16000000,0.8941579592800599,9.405766730951656,17390566
256,128,16,12,16000000,0.38862223435482,5.474191065338978,17938126
256,128,128,7,16000000,0.37174963789326,4.667260360294328,17938126
256,256,4,12,16000000,0.39188760102886,5.51733888333314,17938126
256,128,256,12,16000000,0.38881977828695996,5.503308571284269,17938126
128,256,4,12,16000000,0.40457968875806,5.568496393486149,17938126
256,64,256,10,16000000,0.3809428064092,5.142658690977975,17938126
64,16,16,12,16000000,0.67075414749628,8.532848127624511,17938126
64,16,16,11,16000000,0.6698674190397199,8.339265146242367,17938126
128,256,4,11,16000000,0.40315016978861995,5.421415720571877,17938126
64,16,16,10,16000000,0.67076351255602,8.16969255842809,17938126
256,64,4,9,16000000,0.37334192563158003,4.915532605971869,18498777
512,256,256,9,16000000,0.38870641044908,5.179806331412939,18498777
512,256,128,9,16000000,0.38870641044908,5.1658131740210225,18498777
128,128,256,12,16000000,0.40369377283846,5.5771014754422055,18498777
512,64,16,12,16000000,0.38862196730982,5.5735053934663386,18498777
512,256,256,5,16000000,0.45182109491208,5.295777232521264,18498777
512,256,256,6,16000000,0.42498986596186,5.1535772527600265,18498777
512,256,256,8,16000000,0.37960692836009996,4.971991745317815,18498777
512,256,256,7,16000000,0.37174096033614,4.751609640092241,18498777
512,256,128,5,16000000,0.45182109491208,5.280617296379351,18498777
128,16,64,8,16000000,0.39920732154642,5.005814476928011,19046849
128,16,16,8,16000000,0.39949275328699996,5.00248611532182,19046849
128,16,16,9,16000000,0.40828449564524,5.190875710068576,19046849
128,16,64,9,16000000,0.40802435794282,5.194859009674957,19046849
128,16,16,7,16000000,0.42434617758654003,5.1172203546371176,19046849
128,16,64,7,16000000,0.42406659386615997,5.120744970440067,19046849
128,128,16,9,16000000,0.40826996723958,5.201470152836312,19046849
128,64,16,9,16000000,0.40826996723958,5.1957514313020585,19046849
128,64,64,9,16000000,0.40797561790298,5.199066808703109,19046849
128,64,64,7,16000000,0.42403860523906,5.125732843295614,19046849
256,256,16,7,16000000,0.37210079261969997,4.667930610046443,19602845
512,256,16,7,16000000,0.3721006122224,4.728379681615634,19602845
512,256,16,8,16000000,0.37998338699084,4.948446336101071,19602845
256,256,16,8,16000000,0.37998338699084,4.879172764535155,19602845
256,256,16,9,16000000,0.38739317287782,5.062732360954713,19602845
512,256,16,9,16000000,0.38739290583282,5.140814071633537,19602845
512,16,16,10,16000000,0.37841326815657994,5.173617983882103,19602845
512,16,4,10,16000000,0.37894413018817996,5.178364125049742,19602845
64,4,16,11,16000000,0.6985619131805,8.64125521793254,19602845
128,4,16,11,16000000,0.6842089671628,8.521566017050146,19602845
256,128,256,10,16000000,0.3809428064092,5.14809822741048,20153943
128,128,16,12,16000000,0.40400328978208,5.5522415019813876,20153943
256,128,4,10,16000000,0.37894437592674,5.102069320045925,20153943
256,128,64,10,16000000,0.38713537495322004,5.186506857173314,20153943
512,128,64,10,16000000,0.387015872188,5.272183671704967,20153943
256,128,16,10,16000000,0.3794532460832,5.106799182064643,20153943
128,128,64,10,16000000,0.40412020818531996,5.297106344100687,20153943
128,128,16,10,16000000,0.40425477636364004,5.292937434568076,20153943
128,128,4,10,16000000,0.40473689696868,5.296933939184327,20153943
128,128,256,10,16000000,0.40411906187966,5.318876244731371,20153943
32,128,16,4,16000000,0.8942403868057999,9.376533809998753,20727962
256,16,16,12,16000000,0.37377015917213996,5.316983612178345,20727962
256,16,4,12,16000000,0.3916152700951,5.493778225369819,20727962
32,128,64,4,16000000,0.8941579592800599,9.386020792642643,20727962
128,64,256,11,16000000,0.40233856199018,5.424951211621314,20727962
32,128,4,4,16000000,0.9082562096395399,9.515320209644635,20727962
