benchmark,interval,cluster,index,cpi
linear,2000,10,6,1.996000
linear,2000,10,1,2.640000
linear,2000,17,7,7.303804
linear,2000,17,4,3.825913
linear,2000,17,5,8.269500
linear,2000,17,9,3.557336
linear,2000,17,8,3.682866
linear,2000,17,2,7.540190
linear,2000,17,3,2.165417
linear,2000,17,0,6.056028
linear,2000,17,6,7.771000
linear,2000,17,1,3.685786
linear,2000,15,7,1.970015
linear,2000,15,4,1.771842
linear,2000,15,5,1.762000
linear,2000,15,9,1.843157
linear,2000,15,8,1.832833
linear,2000,15,2,1.844078
linear,2000,15,3,1.867500
linear,2000,15,0,1.906547
linear,2000,15,6,1.772000
linear,2000,15,1,1.446169
linear,2000,11,0,2.010995
linear,2000,11,1,1.858647
linear,2000,18,7,0.448827
linear,2000,18,4,3.554054
linear,2000,18,5,0.525288
linear,2000,18,9,0.690691
linear,2000,18,8,3.473473
linear,2000,18,2,0.452679
linear,2000,18,3,0.520719
linear,2000,18,0,0.452821
linear,2000,18,6,0.521717
linear,2000,18,1,0.530295
linear,2000,12,2,5.611194
linear,2000,12,3,1.544772
linear,2000,12,0,6.214822
linear,2000,12,1,3.336837
linear,2000,16,7,1.482241
linear,2000,16,4,9.903548
linear,2000,16,5,1.490745
linear,2000,16,9,1.670665
linear,2000,16,8,6.766000
linear,2000,16,2,4.866067
linear,2000,16,3,3.800500
linear,2000,16,0,10.354645
linear,2000,16,6,4.229000
linear,2000,16,1,8.245377
linear,2000,6,4,1.793691
linear,2000,6,5,2.612000
linear,2000,6,2,9.482776
linear,2000,6,3,1.502000
linear,2000,6,0,1.600100
linear,2000,6,1,1.465733
linear,2000,1,7,2.673674
linear,2000,1,4,1.997000
linear,2000,1,5,2.356356
linear,2000,1,9,2.421421
linear,2000,1,8,2.341159
linear,2000,1,2,1.639361
linear,2000,1,3,1.640360
linear,2000,1,0,1.682182
linear,2000,1,6,2.420790
linear,2000,1,1,1.671329
linear,32000,7,7,1.802231
linear,32000,7,4,1.915662
linear,32000,7,5,1.795869
linear,32000,7,9,1.818531
linear,32000,7,8,1.788306
linear,32000,7,2,1.756789
linear,32000,7,3,1.769889
linear,32000,7,0,2.004469
linear,32000,7,6,1.843104
linear,32000,7,1,1.877527
linear,32000,4,4,4.715384
linear,32000,4,2,1.907812
linear,32000,4,3,2.668312
linear,32000,4,0,2.341001
linear,32000,4,1,3.103184
linear,32000,5,2,1.076904
linear,32000,5,3,1.895125
linear,32000,5,0,0.665740
linear,32000,5,1,0.673104
linear,32000,9,4,1.785402
linear,32000,9,5,1.689676
linear,32000,9,2,1.799206
linear,32000,9,3,1.733460
linear,32000,9,0,1.751758
linear,32000,9,1,1.715821
linear,32000,8,0,3.541486
linear,32000,8,1,0.820688
linear,32000,2,7,0.674260
linear,32000,2,4,0.683895
linear,32000,2,5,0.676489
linear,32000,2,9,0.672500
linear,32000,2,8,0.679022
linear,32000,2,2,0.674062
linear,32000,2,3,0.664292
linear,32000,2,0,0.672917
linear,32000,2,6,0.673750
linear,32000,2,1,0.672614
linear,32000,3,4,1.976875
linear,32000,3,5,2.087628
linear,32000,3,2,1.983500
linear,32000,3,3,1.984312
linear,32000,3,0,1.984000
linear,32000,3,1,1.987562
linear,32000,0,7,1.452980
linear,32000,0,4,1.132058
linear,32000,0,5,1.082406
linear,32000,0,2,1.124227
linear,32000,0,3,1.311406
linear,32000,0,0,1.131952
linear,32000,0,6,1.691051
linear,32000,0,1,1.305459
linear,32000,10,4,1.739985
